BROKER,CODENVASE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION,N_OBS
ANHUI 5 STARS,C4434125,12,,878.7940433137159,1060.2294844991663,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C4434125,13,,977.0556166117781,3423.03871175351,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C4434125,14,,-5.173866744872373,2.9358047423351774,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C4434125,15,,-3342.019179983285,-1959.9849405514085,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C0635120,3,,0.8328381812365049,2.3237530182131665,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C0635120,4,,-237.28033394990894,56.93811827212741,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C0635120,5,,79.32147638890149,110.92704981175063,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C0635120,6,,25.921944271537402,32.785264525798226,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C0635120,7,,1185.9004494258734,1199.5267136386065,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C0635120,8,,57.112156534619594,83.19564364234128,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C0635120,9,,-331.97995471144344,-291.0246397482934,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C0635120,10,,10.614584300163692,13.968873974962158,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C0635120,11,,-0.30252634946203316,-0.0321985041144546,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C0635120,12,,1.578990422328106,1.945522420666519,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C0635120,13,,-0.9695944166458739,-0.5666955786347376,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C0635120,14,,-456.5362402017684,-403.923899740005,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,C0635120,15,,-111.80440316163019,95.66480873079867,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P0232087,3,,0.8306909474182246,2.233804587621932,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P0232087,4,,-0.07914642036771974,0.16257861980480362,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P0232087,5,,1864.9250895589737,4283.647082197325,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P0232087,6,,450.25139083479667,530.9722748619467,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P0232087,7,,-3.015336344153381,-1.0789697610243842,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P0232087,8,,-0.7066540304264967,0.0883340352651889,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P0232087,9,,9.833216007697551,19.551693809611102,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P0232087,10,,-611.3165932729237,-301.23105038857534,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P0232087,11,,-309.5185513737079,679.0122051796343,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P0232087,12,,86.05743234692741,98.22745527241827,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P0232087,13,,590.4204454008184,739.5982382646137,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P0232087,14,,-149.2751063600695,-52.413856896757785,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P0232087,15,,105.41545763371887,209.70969765250427,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P2532103,3,,0.8306909474182413,2.233804587621912,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P2532103,4,,-0.713673792120175,1.1754294350073016,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P2532103,5,,-5.622249528162506,0.2689140073045375,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P2532103,6,,24.152741545909723,33.929869932402454,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P2532103,7,,-0.26144529640053304,0.05730155258836486,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P2532103,8,,-0.7066540304268025,0.08833403526496197,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P2532103,9,,-1.7036805791854701,-0.25330919762494686,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P2532103,10,,-576.1144605869256,525.4215520540079,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P2532103,11,,1.1076015510040889,2.8612527794002656,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P2532103,12,,0.6457458216156803,0.8619964688908472,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P2532103,13,,-0.6095884193782308,-0.35518663734413836,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P2532103,14,,-7320.840918873186,-6986.119305516844,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,P2532103,15,,-113.3330327922627,96.11719295854303,6649,6,SIN SOPORTE,0
CHENS SUN GROUP,C0535096,3,,-17.349078448340546,17.088691908183712,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0535096,4,0.18959469927462536,-0.13068785763085217,0.5098772561800886,9045,6,INCIERTO,380
CHENS SUN GROUP,C0535096,5,1.3436466058981829,1.181328368259503,1.5059648435368893,9045,6,MEJOR,852
CHENS SUN GROUP,C0535096,6,0.25113132462596965,0.0953565695499059,0.4069060797020192,9045,6,MEJOR,655
CHENS SUN GROUP,C0535096,7,-0.020340878229369252,-0.23032305069703382,0.1896412942303514,9045,6,INCIERTO,551
CHENS SUN GROUP,C0535096,8,0.5980351322195325,0.40341982589936143,0.7926504385398386,9045,6,MEJOR,616
CHENS SUN GROUP,C0535096,9,1.6317228580215595,1.353726705906083,1.9097190101370218,9045,6,MEJOR,849
CHENS SUN GROUP,C0535096,10,-0.2615731209516525,-0.5666005036050292,0.043454254251143576,9045,6,INCIERTO,550
CHENS SUN GROUP,C0535096,11,0.857660386693345,0.6085339981618879,1.1067867752247895,9045,6,MEJOR,299
CHENS SUN GROUP,C0535096,12,2.1630090307444334,1.7690658100139673,2.5569522142219965,9045,6,MEJOR,168
CHENS SUN GROUP,C0535096,13,-0.2755584716796875,-0.8143967881687445,0.2633408799656194,9045,6,INCIERTO,183
CHENS SUN GROUP,C0535096,14,,-54.84754768989059,85.77609729251833,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C0535096,15,,-874.7600474378096,1260.3049677990318,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4635096,3,,-17.34907844834072,17.088691908182717,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4635096,4,,-0.13068785763084995,0.5098772561800864,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4635096,5,,1.181328368259744,1.5059648435369735,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4635096,6,,0.09535656954991162,0.4069060797020241,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4635096,7,,-0.23032305068855619,0.1896412942390263,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4635096,8,,0.4034198258991023,0.7926504385399342,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4635096,9,,1.3537267059060896,1.9097190101370294,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4635096,10,,-0.5666008785274387,0.043454644074714166,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4635096,11,,0.6085339981618892,1.1067867752248148,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4635096,12,,1.7690660140859025,2.5569520511282544,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4635096,13,,-1.9853528700902687,0.8434156142308933,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4635096,14,,-54.847553147475466,85.77610283951017,9045,6,SIN SOPORTE,0
CHENS SUN GROUP,C4635096,15,,-1033.0212700099025,1444.793246072552,9045,6,SIN SOPORTE,0
