,VARIEDAD,SEMANA,BROKER_OPTIMO,GANANCIA_VS_FF,CI_LO,CI_HI,DIRECCION
143,ROYAL DAWN,3,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
144,ROYAL DAWN,4,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
145,ROYAL DAWN,5,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
146,ROYAL DAWN,6,SHANGHAI IVCSUN INDUSTRIAL DEV,0.6163671745339343,0.5387406306111614,0.6939937184567072,MEJOR
147,ROYAL DAWN,7,SHANGHAI YUQIAN (Z FRUIT),0.9399994536070153,0.7488520984879652,1.1311468087260654,MEJOR
148,ROYAL DAWN,8,SHANGHAI IVCSUN INDUSTRIAL DEV,0.6080237093397045,0.4423442546193205,0.7737031640609979,MEJOR
149,ROYAL DAWN,9,SHANGHAI YUQIAN (Z FRUIT),0.5643409501471721,0.3518429148672298,0.776838985427014,MEJOR
150,ROYAL DAWN,10,NINGBO XIANFENG FRUIT TRADING,1.279653994481123,1.0996591627429322,1.4596488262193137,MEJOR
151,ROYAL DAWN,11,"ZHEJIANG SANGO TRADE CO., LTD",1.3542235270142555,1.0484410898499246,1.660005949277425,MEJOR
152,ROYAL DAWN,12,SHANGHAI IVCSUN INDUSTRIAL DEV,0.9294121996499598,0.7091090407927554,1.1497153574594263,MEJOR
153,ROYAL DAWN,13,SHANGHAI YUQIAN (Z FRUIT),0.4652097821235657,-0.055517582814325395,0.9859371619626178,INCIERTO
154,ROYAL DAWN,14,GUANGZHOU QINGUO IMPORT & EXPO,0.6621652320027351,0.3927508642084234,0.9315796295993692,MEJOR
155,ROYAL DAWN,15,"KINGO FRUITS CO., LTD.",5.902805201971205,3.7824710950898166,8.023139308736177,MEJOR
156,ROYAL LYNN,3,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
157,ROYAL LYNN,4,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
158,ROYAL LYNN,5,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
159,ROYAL LYNN,6,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
160,ROYAL LYNN,7,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
161,ROYAL LYNN,8,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
162,ROYAL LYNN,9,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
163,ROYAL LYNN,10,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
164,ROYAL LYNN,11,GUANGZHOU QINGUO IMPORT & EXPO,0.20089360978454351,-1.8741109635656508,2.2758981700962213,INCIERTO
165,ROYAL LYNN,12,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
166,ROYAL LYNN,13,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
167,ROYAL LYNN,14,"KINGO FRUITS CO., LTD.",0.543813913653139,-0.06639320328377829,1.1540210305900562,INCIERTO
168,ROYAL LYNN,15,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
169,ROYAL RAINIER,3,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
170,ROYAL RAINIER,4,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
171,ROYAL RAINIER,5,FOREVER FRESH (SHANGHAI) FRUIT,0.0,0.0,0.0,REFERENCIA
172,ROYAL RAINIER,6,SHANGHAI YUQIAN (Z FRUIT),2.3090893372582286,0.2620230189392072,4.356155655575431,MEJOR
