BROKER,CALIBRE,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION,N_OBS
ANHUI 5 STARS,JDD,3,,-6.291968806718771,164.36894283124923,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,JDD,4,3.5232094098469826,2.7386263838842395,4.307792435809704,6649,6,MEJOR,80
ANHUI 5 STARS,JDD,5,1.5682532088687395,1.0400100502685183,2.096496367468918,6649,6,MEJOR,67
ANHUI 5 STARS,JDD,6,0.27222236249217957,-1.4215226461434574,1.9659673711195882,6649,6,INCIERTO,39
ANHUI 5 STARS,JDD,7,2.117748666330005,1.2713962564133832,2.964101076246655,6649,6,MEJOR,50
ANHUI 5 STARS,JDD,8,-0.4414001588867693,-0.7098925895498426,-0.17290772822364103,6649,6,PEOR,114
ANHUI 5 STARS,JDD,9,-2.559941621706894,-3.5751206505188193,-1.5447625928901305,6649,6,PEOR,56
ANHUI 5 STARS,JDD,10,-4.550164578664226,-5.949859802015475,-3.1504693553132057,6649,6,PEOR,15
ANHUI 5 STARS,JDD,11,0.5583327749475702,0.17891661332826558,0.9377489365668711,6649,6,MEJOR,90
ANHUI 5 STARS,JDD,12,2.1310488574723685,1.4265405327892173,2.8355571821555445,6649,6,MEJOR,30
ANHUI 5 STARS,JDD,13,,-8.2051799834723,11.391848471574512,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,JDD,14,,-1.00882652816962,0.9713892196742387,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,JDD,15,,237.0723531259537,284.6264805921801,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,JD,3,,2.0060427097071467,7.518519118684052,6649,6,SIN SOPORTE,9
ANHUI 5 STARS,JD,4,4.55019326941459,4.099020757424234,5.001365781405188,6649,6,MEJOR,62
ANHUI 5 STARS,JD,5,1.1621052504832494,0.6918786343011365,1.6323318666653621,6649,6,MEJOR,328
ANHUI 5 STARS,JD,6,1.3056893728047116,0.9695931132703633,1.6417856323390563,6649,6,MEJOR,251
ANHUI 5 STARS,JD,7,-0.395731711782247,-0.713729684478973,-0.0777337390855104,6649,6,PEOR,226
ANHUI 5 STARS,JD,8,0.8906163643804206,0.52482723246997,1.2564054962908782,6649,6,MEJOR,154
ANHUI 5 STARS,JD,9,-0.6798831258488889,-1.1109498512741594,-0.2488164004236349,6649,6,PEOR,150
ANHUI 5 STARS,JD,10,-0.31947642576525936,-1.6513278036346877,1.0123749521041403,6649,6,INCIERTO,14
ANHUI 5 STARS,JD,11,3.8128288214804584,2.2763181116728872,5.349339531288223,6649,6,MEJOR,26
ANHUI 5 STARS,JD,12,,-2.8340842715121557,0.5407766246548265,6649,6,SIN SOPORTE,2
ANHUI 5 STARS,JD,13,,-1.4945217332860983,0.40871972103907384,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,JD,14,,-0.9191965848079539,2.794739170868172,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,JD,15,,-32.71289443645925,31.635753766655178,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,2JDD,3,,-149.72113753039986,403.7679929336266,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,2JDD,4,1.7509454305960244,1.2034238056948516,2.298467055497174,6649,6,MEJOR,70
ANHUI 5 STARS,2JDD,5,-0.41197559184981714,-1.00220018460368,0.1782490009048131,6649,6,INCIERTO,26
ANHUI 5 STARS,2JDD,6,1.5423043035059436,-0.28342779268017404,3.3680363996920892,6649,6,INCIERTO,25
ANHUI 5 STARS,2JDD,7,1.9227997748659238,1.1333873085344621,2.712212241197346,6649,6,MEJOR,40
ANHUI 5 STARS,2JDD,8,-0.03381672375190581,-0.5157639895694078,0.448130542065053,6649,6,INCIERTO,109
ANHUI 5 STARS,2JDD,9,-5.124810063484702,-6.246959690143564,-4.002660436825984,6649,6,PEOR,72
ANHUI 5 STARS,2JDD,10,-1.878040566872727,-3.1095779958890484,-0.6465031378564765,6649,6,PEOR,17
ANHUI 5 STARS,2JDD,11,2.81629994653339,2.2450405615723286,3.3875593315661012,6649,6,MEJOR,66
ANHUI 5 STARS,2JDD,12,4.838662439333942,4.147286818463562,5.530038060204309,6649,6,MEJOR,59
ANHUI 5 STARS,2JDD,13,,1.1514535331513347,5.3842586029104265,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,2JDD,14,,-10.516931591140075,-6.479790074102073,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,2JDD,15,,-95.60724872891753,-37.523538053795164,6649,6,SIN SOPORTE,0
ANHUI 5 STARS,XLD,3,1.4750124000454825,0.8494343608328121,2.1005904392600536,6649,6,MEJOR,18
ANHUI 5 STARS,XLD,4,-2.1196667019958024,-3.9396554153860164,-0.29967798860559447,6649,6,PEOR,27
