BROKER,SEMANA,CATE,CI_LO,CI_HI,N,N_TEMP,DIRECCION,N_OBS
"KINGO FRUITS CO., LTD.",5,-0.12879395709267916,-0.18037569043649088,-0.07721222374886723,26779,6,PEOR,2482
"KINGO FRUITS CO., LTD.",6,-0.008068206015777703,-0.03068780749840129,0.014551395466845876,26779,6,INCIERTO,3639
"KINGO FRUITS CO., LTD.",7,-0.18118921466582688,-0.20341705844018537,-0.1589613708914684,26779,6,PEOR,3258
"KINGO FRUITS CO., LTD.",8,0.07134031412244371,0.0393574762738522,0.1033231519710353,26779,6,MEJOR,3132
"KINGO FRUITS CO., LTD.",9,0.22034312620876564,0.14673722318033994,0.2939490292371916,26779,6,MEJOR,3110
"KINGO FRUITS CO., LTD.",10,-0.08261824237815114,-0.13782246624600056,-0.027414018510301744,26779,6,PEOR,2771
"KINGO FRUITS CO., LTD.",11,0.02983802882682122,-0.049373874532782185,0.10904993218642464,26779,6,INCIERTO,1846
"KINGO FRUITS CO., LTD.",12,0.3134479240955994,0.23828992228285045,0.38860592590834836,26779,6,MEJOR,1823
"KINGO FRUITS CO., LTD.",13,0.251950253142503,0.10818580955309981,0.3957146967319062,26779,6,MEJOR,816
"KINGO FRUITS CO., LTD.",14,0.22938733248338733,0.09951791618408673,0.3592567487826879,26779,6,MEJOR,1037
"KINGO FRUITS CO., LTD.",15,-0.2610292822293473,-0.6495062628287647,0.12744769837006997,26779,6,INCIERTO,337
"ZHEJIANG SANGO TRADE CO., LTD",3,0.16347204144098587,-0.3206537812429475,0.6475978641249192,13949,6,INCIERTO,73
"ZHEJIANG SANGO TRADE CO., LTD",4,0.42837573289355935,0.34552045457797537,0.5112310112091434,13949,6,MEJOR,784
"ZHEJIANG SANGO TRADE CO., LTD",5,0.06925379311000175,0.028475912981208766,0.11003167323879473,13949,6,MEJOR,1530
"ZHEJIANG SANGO TRADE CO., LTD",6,0.07119214475926154,0.03703105787638331,0.10535323164213971,13949,6,MEJOR,1879
"ZHEJIANG SANGO TRADE CO., LTD",7,0.014309524436853072,-0.021082610131432714,0.04970165900513885,13949,6,INCIERTO,2176
"ZHEJIANG SANGO TRADE CO., LTD",8,0.2565858675214201,0.218327185312357,0.29484454973048363,13949,6,MEJOR,1697
"ZHEJIANG SANGO TRADE CO., LTD",9,0.13529570008089778,0.09327581818325062,0.17731558197854497,13949,6,MEJOR,2042
"ZHEJIANG SANGO TRADE CO., LTD",10,0.13980354849593973,0.06963500648277891,0.20997209050910065,13949,6,MEJOR,1079
"ZHEJIANG SANGO TRADE CO., LTD",11,0.2482239261520875,0.2024119135380693,0.2940359387661057,13949,6,MEJOR,1167
"ZHEJIANG SANGO TRADE CO., LTD",12,0.974565070348698,0.9269287222155698,1.0222014184818264,13949,6,MEJOR,659
"ZHEJIANG SANGO TRADE CO., LTD",13,0.5255149164999912,0.48028284123543463,0.5707469917645472,13949,6,MEJOR,314
"ZHEJIANG SANGO TRADE CO., LTD",14,0.5951735544676676,0.4755997894803126,0.7147473194550226,13949,6,MEJOR,453
"ZHEJIANG SANGO TRADE CO., LTD",15,0.7920032278588518,0.5394342514350864,1.0445722042826169,13949,6,MEJOR,96
CHENS SUN GROUP,3,,-0.7954050134154114,0.36135781794645794,9045,6,SIN SOPORTE,0
